ROI,Model,Correlation,R²
FBA-2,ResNet-50,0.3071674486606357,-0.11249995470046996
FBA-2,EfficientNet,0.33639556687801786,0.038759753704071045
FBA-2,SqueezeNet,0.3903629978070914,0.15023577332496643
VWFA-1,ResNet-50,0.2346592658819621,-0.2025449311733246
VWFA-1,EfficientNet,0.25552809704201607,-0.04110153198242188
VWFA-1,SqueezeNet,0.3192830981068281,0.088457692861557
